"","equipment","manufacturer","engine_type","engines_amount","takeoff_max_weight..Lbs.","seatings_amount","year_manufacture","registration_category","registration_aviation","operation_phase","type_operation","fu","occuence_year","classification"
"1728","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3600,7,1991,"TPX","AEROTAXI","LANDING","AEROTAXI","BA",2012,"SERIOUS INCIDENT"
"1729","GLIDER","SHEMPP-HIRTH FLUGZEUBAU","UNKNOWN",0,1653,0,0,"PET","EXPERIMENTAL","FINAL STRETCH","EXPERIMENTAL","GO",2014,"ACCIDENT"
"1730","ULTRALIGHT","JOSE ANTONIO ZATTAR JR","PISTON",1,1040,2,2012,"PET","EXPERIMENTAL","CRUISE","EXPERIMENTAL","PR",2014,"ACCIDENT"
"1731","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",2,4750,7,1987,"TPP","PRIVATE","ANOTHER PHASE","PRIVATE","MT",2014,"ACCIDENT"
"1732","ULTRALIGHT","TECNAM CONSTRUZIONI AERONAUTICHE","PISTON",1,1322,2,2011,"PET","EXPERIMENTAL","MANEUVER","EXPERIMENTAL","RJ",2014,"ACCIDENT"
"1733","AIRPLANE","NEIVA INDUSTRIA AERONAUTICA","PISTON",1,3968,1,1984,"SAE-AG","AGRICULTURAL","SPECIALIZED","AGRICULTURAL","RS",2014,"ACCIDENT"
"1734","AIRPLANE","CIRRUS DESIGN","PISTON",1,3399,4,2007,"TPP","PRIVATE","LANDING","PRIVATE","BA",2014,"ACCIDENT"
"1735","AIRSHIP","MAULE AIRCRAFT","PISTON",1,551,0,0,"TPP","PRIVATE","CRUISE","PRIVATE","SP",2014,"ACCIDENT"
"1736","AIRSHIP","MAULE AIRCRAFT","PISTON",1,551,0,0,"TPP","PRIVATE","CRUISE","PRIVATE","SP",2014,"ACCIDENT"
"1737","AIRPLANE","AEROMOT","PISTON",1,1984,2,2006,"PRI","INSTRUCTION","RUN AFTER LANDING","INSTRUCTION","PA",2014,"SERIOUS INCIDENT"
"1738","AIRPLANE","EMBRAER","JET",2,115279,125,2012,"TPR","REGULAR","LANDING","REGULAR","BA",2014,"SERIOUS INCIDENT"
"1739","AIRPLANE","BEECH AIRCRAFT","PISTON",2,5092,6,1974,"TPP","PRIVATE","RUN AFTER LANDING","PRIVATE","PA",2014,"SERIOUS INCIDENT"
"1740","AIRPLANE","BEECH AIRCRAFT","PISTON",2,5498,6,1999,"TPP","PRIVATE","TAKEOFF","PRIVATE","MT",2014,"SERIOUS INCIDENT"
"1741","AIRPLANE","BOEING COMPANY","JET",2,135498,153,2002,"TPR","REGULAR","DESCEND","REGULAR","MG",2014,"ACCIDENT"
